iter	RMSE
0	13.25889918
1	12.66472191
2	12.11277282
3	11.56388515
4	11.05507587
5	10.5578549
6	10.1048541
7	9.730438573
8	9.313297007
9	8.904443744
10	8.511848686
11	8.150898458
12	7.813740897
13	7.505144165
14	7.228522992
15	6.951154781
16	6.682397238
17	6.43879234
18	6.213303435
19	5.992240554
20	5.790456752
21	5.617152903
22	5.438240605
23	5.268363121
24	5.11108284
25	4.954816374
26	4.817146118
27	4.698207677
28	4.574242844
29	4.465913808
30	4.354244068
31	4.260368248
32	4.167911909
33	4.091452327
34	4.012077002
35	3.941703289
36	3.873525969
37	3.80661056
38	3.743186111
39	3.690737436
40	3.641556232
41	3.595113397
42	3.553641963
43	3.516186377
44	3.47929231
45	3.451192192
46	3.420976502
47	3.39003175
48	3.362812986
49	3.340320246
50	3.320481721
51	3.30017838
52	3.278926985
53	3.261470027
54	3.244075569
55	3.231296433
56	3.215832949
57	3.205994703
58	3.193504879
59	3.184883702
60	3.172851339
61	3.164104916
62	3.156842325
63	3.150200296
64	3.140875548
65	3.131411597
66	3.124635635
67	3.117315524
68	3.114168728
69	3.107187346
70	3.101271442
71	3.096435504
72	3.094014783
73	3.092183934
74	3.087769193
75	3.083333242
76	3.077906154
77	3.073781553
78	3.069618055
79	3.065307523
80	3.061096801
81	3.058524574
82	3.056123608
83	3.05262613
84	3.048391552
85	3.046209747
86	3.043405722
87	3.040767707
88	3.038844498
89	3.037274969
90	3.035098846
91	3.03181276
92	3.030957156
93	3.029179995
94	3.026585765
95	3.025672989
96	3.024528884
97	3.022845091
98	3.020634135
99	3.019119819
100	3.016144578
101	3.012801318
102	3.010019617
103	3.00744003
104	3.006117893
105	3.00449289
106	3.003444132
107	3.002182761
108	3.000503456
109	2.998382246
110	2.997669311
111	2.99600104
112	2.994774576
113	2.994501098
114	2.99303936
115	2.990699828
116	2.989756435
117	2.989116865
118	2.98874389
119	2.987605847
120	2.986162469
121	2.985113032
122	2.984475437
123	2.982447171
124	2.982184656
125	2.979690245
126	2.978521942
127	2.976716214
128	2.974912624
129	2.973269015
130	2.971793766
131	2.97052796
132	2.969532967
133	2.968239599
134	2.967184362
135	2.966134047
136	2.964653948
137	2.964373206
138	2.963871067
139	2.962445665
140	2.96098379
141	2.96079866
142	2.958634385
143	2.956957101
144	2.956533222
145	2.954715276
146	2.953614979
147	2.952403032
148	2.951280855
149	2.94948617
150	2.948100673
151	2.946897402
152	2.944781567
153	2.943754686
154	2.942023925
155	2.940991379
156	2.940907842
157	2.94008862
158	2.937679233
159	2.936493855
160	2.935403996
161	2.933519007
162	2.932295374
163	2.93054117
164	2.92873404
165	2.928033786
166	2.926345189
167	2.924662746
168	2.923577034
169	2.922417367
170	2.920790039
171	2.919971076
172	2.91935012
173	2.917939977
174	2.917048819
175	2.914622578
176	2.913633975
177	2.911911751
178	2.909824177
179	2.908970036
180	2.907130458
181	2.905949703
182	2.904623317
183	2.90359086
184	2.902966763
185	2.901848667
186	2.900673513
187	2.8998528
188	2.898060417
189	2.89716613
190	2.895415934
191	2.894440919
192	2.893793562
193	2.893161645
194	2.892118909
195	2.890701115
196	2.889812092
197	2.888678907
198	2.888202263
199	2.886247466
200	2.885780799
201	2.884537595
202	2.882234391
203	2.882053619
204	2.880553711
205	2.880106455
206	2.879343402
207	2.878537792
208	2.877645806
209	2.875990777
210	2.875639151
211	2.874855184
212	2.874044376
213	2.872548639
214	2.87147572
215	2.870310632
216	2.869059
217	2.868298612
218	2.866174805
219	2.865710861
220	2.865015063
221	2.863855094
222	2.863498068
223	2.863171824
224	2.861071155
225	2.859753596
226	2.858197813
227	2.857197481
228	2.856152386
229	2.854608038
230	2.853154927
231	2.850550299
232	2.849600156
233	2.848591573
234	2.847455006
235	2.846672983
236	2.845341501
237	2.843995642
238	2.843553848
239	2.843153737
240	2.842079643
241	2.840841415
242	2.83976656
243	2.838483264
244	2.837910417
245	2.837204723
246	2.835794117
247	2.83529935
248	2.833007595
249	2.831313668
250	2.83039744
251	2.829097196
252	2.827387888
253	2.826106199
254	2.823972465
