iter	Passed	Remaining
0	0	925
1	1	898
2	2	866
3	3	852
4	4	839
5	4	808
6	5	824
7	6	810
8	7	812
9	8	811
10	9	816
11	9	817
12	10	815
13	11	813
14	12	793
15	12	792
16	13	790
17	14	791
18	15	790
19	16	791
20	17	795
21	17	791
22	18	786
23	19	782
24	20	780
25	20	782
26	21	779
27	22	779
28	23	778
29	23	770
30	24	769
31	25	769
32	26	768
33	27	767
34	27	766
35	28	768
36	29	769
37	30	771
38	31	769
39	32	769
40	32	769
41	33	767
42	34	766
43	35	765
44	35	763
45	36	756
46	37	754
47	37	751
48	38	750
49	39	749
50	40	747
51	41	748
52	41	746
53	42	744
54	43	742
55	43	739
56	44	737
57	45	732
58	45	731
59	46	729
60	47	729
61	48	727
62	48	724
63	49	723
64	50	721
65	50	719
66	51	718
67	52	717
68	52	713
69	53	712
70	54	717
71	55	720
72	56	716
73	56	712
74	57	712
75	58	711
76	59	710
77	60	710
78	60	710
79	61	709
80	62	709
81	63	708
82	64	708
83	64	707
84	65	706
85	66	705
86	67	707
87	68	707
88	69	706
89	69	705
90	70	705
91	71	705
92	72	702
93	72	700
94	73	699
95	74	699
96	74	697
97	75	697
98	76	696
99	77	695
100	78	694
101	78	693
102	79	693
103	80	693
104	81	693
105	82	693
106	83	693
107	83	693
108	84	692
109	85	692
110	86	692
111	87	691
112	88	691
113	88	688
114	89	688
115	90	687
116	91	686
117	91	685
118	92	683
119	93	683
120	93	682
121	94	681
122	95	680
123	96	680
124	96	676
125	97	676
126	98	675
127	98	674
128	99	673
129	100	672
130	101	671
131	102	670
132	102	669
133	103	668
134	104	667
135	104	666
136	105	666
137	106	663
138	107	662
139	107	663
140	108	662
141	109	659
142	110	660
143	110	659
144	111	658
145	112	657
146	113	657
147	114	657
148	115	657
149	115	656
150	116	655
151	117	655
152	118	654
153	119	654
154	119	653
155	120	652
156	121	650
157	121	649
158	122	648
159	123	647
160	124	647
161	124	646
162	125	645
163	126	644
164	127	644
165	128	643
166	128	643
167	129	642
168	130	641
169	131	640
170	132	640
171	132	639
172	133	638
173	134	637
174	135	636
175	135	635
176	136	635
177	137	636
178	138	635
179	139	634
180	140	634
181	140	633
182	141	632
183	142	631
184	143	630
185	143	630
186	144	629
187	145	629
188	146	628
189	147	627
190	148	626
191	148	626
192	149	625
193	150	624
194	151	623
195	151	622
196	152	621
197	153	621
198	154	620
199	154	619
200	155	618
201	156	618
202	157	617
203	157	616
204	158	615
205	159	615
206	160	614
207	161	613
208	162	614
209	163	613
210	163	613
211	164	612
212	165	611
213	166	610
214	167	610
215	167	609
216	168	608
217	169	607
218	170	606
219	170	605
220	171	605
221	172	604
222	173	603
223	174	602
224	174	602
225	175	601
226	176	601
227	177	601
228	178	600
229	179	600
230	180	599
231	181	599
232	181	598
233	182	598
234	183	598
235	184	598
236	185	597
237	186	597
238	187	596
239	188	595
240	188	595
241	189	594
242	190	593
243	191	593
244	192	592
245	193	592
246	194	591
247	194	590
248	195	590
249	196	589
250	197	589
251	198	588
252	199	588
253	200	587
254	200	587
255	201	586
256	202	585
257	203	585
258	204	584
259	205	583
260	205	583
261	206	582
262	207	581
263	208	580
264	209	580
265	209	579
266	210	578
267	211	578
268	212	577
269	213	576
270	214	575
271	214	574
272	215	574
273	216	573
274	217	573
275	218	572
276	219	571
277	219	571
278	220	570
279	221	569
280	222	570
281	223	570
282	224	569
283	225	568
284	226	567
285	226	566
286	227	565
287	228	564
288	229	563
289	229	562
290	230	562
291	231	561
292	232	560
293	233	559
294	233	558
295	234	557
296	235	557
297	236	556
298	236	555
299	237	554
300	238	553
301	239	552
302	239	552
303	240	551
304	241	550
305	242	549
306	243	548
307	243	547
308	244	547
309	245	546
310	246	545
311	247	545
312	248	544
313	248	543
314	249	542
315	250	542
316	251	541
317	251	540
318	252	539
319	253	538
320	254	537
321	254	536
322	255	535
323	256	535
324	257	534
325	257	533
326	258	532
327	259	531
328	260	530
329	261	530
330	261	529
331	262	528
332	263	527
333	264	526
334	264	525
335	265	524
336	266	524
337	267	523
338	267	522
339	268	521
340	269	520
341	270	519
342	271	519
343	271	518
344	272	517
345	273	516
346	274	516
347	275	515
348	275	514
349	276	513
350	278	514
351	280	516
352	281	515
353	282	514
354	282	514
355	283	513
356	284	512
357	285	511
358	286	511
359	287	510
360	288	510
361	289	510
362	290	509
363	291	508
364	292	508
365	293	507
366	293	507
367	294	506
368	295	505
369	296	504
370	297	504
371	298	503
372	298	502
373	299	501
374	300	500
375	301	499
376	302	499
377	302	498
378	303	497
379	304	496
380	305	495
381	306	495
382	306	494
383	307	493
384	308	492
385	309	491
386	310	491
387	310	490
388	311	489
389	312	488
390	313	487
391	314	487
392	314	486
393	315	485
394	316	484
395	317	484
396	318	483
397	319	482
398	319	481
